page_id	text	label	Pattern Category	clean_text	char_count	word_count
1012	FLASH SALE | LIMITED TIME ONLY Shop Now	1	Urgency	FLASH SALE | LIMITED TIME ONLY Shop Now	39	8
158	Pillowcases & Shams	0	Not Dark Pattern	Pillowcases & Shams	19	3
108	Write a review	0	Not Dark Pattern	Write a review	14	3
1425	To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	0	Not Dark Pattern	To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	211	37
1658	 newsletter signup (privacy policy) 	0	Not Dark Pattern	newsletter signup (privacy policy)	34	4
975	In demand	1	Scarcity	In demand	9	2
1469	We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	0	Not Dark Pattern	We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	212	34
1570	Hurry! Only 2 left in stock	1	Scarcity	Hurry! Only 2 left in stock	27	6
1617	In Stock only 3 left	1	Scarcity	In Stock only 3 left	20	5
108	International Shipping Policy	0	Not Dark Pattern	International Shipping Policy	29	3
1333	Clothes, Shoes & Accessories	0	Not Dark Pattern	Clothes, Shoes & Accessories	28	4
1199	Hurry! Only 2 left	1	Scarcity	Hurry! Only 2 left	18	4
822	Primary Arms Scopes	0	Not Dark Pattern	Primary Arms Scopes	19	3
1264	ONLY 8 LEFT	1	Scarcity	ONLY 8 LEFT	11	3
1609	MoTrail	0	Not Dark Pattern	MoTrail	7	1
776	LCD Ribbon Cables	0	Not Dark Pattern	LCD Ribbon Cables	17	3
1779	READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	0	Not Dark Pattern	READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	41	7
1739	OUR BEST SELLING GOGGLE	1	Misdirection	OUR BEST SELLING GOGGLE	23	4
98	1,142 people have added to cart recently	1	Social Proof	1,142 people have added to cart recently	40	7
1438	Limited Availability	1	Scarcity	Limited Availability	20	2
449	No thanks. I don't like free things...	1	Misdirection	No thanks. I don't like free things...	38	7
1667	 read you will want to read -- Five Book Group Favourites * Sunday Post *	0	Not Dark Pattern	read you will want to read -- Five Book Group Favourites * Sunday Post *	72	15
212	 Supply & Demand 	0	Not Dark Pattern	Supply & Demand	15	3
284	Michael in Pontiac, United States purchased a  	1	Social Proof	Michael in Pontiac, United States purchased a	45	7
1381	Bathroom Lighting	0	Not Dark Pattern	Bathroom Lighting	17	2
822	 Shop Optics > 	0	Not Dark Pattern	Shop Optics >	13	3
4	9 people are viewing this.	1	Social Proof	9 people are viewing this.	26	5
1082	894 Claimed! Hurry, only a few left!	1	Scarcity	894 Claimed! Hurry, only a few left!	36	7
255	77 PEOPLE LIKE THIS	1	Social Proof	77 PEOPLE LIKE THIS	19	4
833	Girls Trousers	0	Not Dark Pattern	Girls Trousers	14	2
1009	Specs	0	Not Dark Pattern	Specs	5	1
1073	4 items left	1	Scarcity	4 items left	12	3
495	HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	1	Urgency	HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	40	10
718	Offer ends in	1	Urgency	Offer ends in	13	3
25	Another babe in Alexandria, United States just ordered Flat Tummy Tea	1	Social Proof	Another babe in Alexandria, United States just ordered Flat Tummy Tea	69	11
276	Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	1	Social Proof	Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	105	17
819	More Info	0	Not Dark Pattern	More Info	9	2
822	Daystate FAC Air Rifles	0	Not Dark Pattern	Daystate FAC Air Rifles	23	4
4	Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	0	Not Dark Pattern	Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	310	45
126	24 sold in last 24 hours.	1	Social Proof	24 sold in last 24 hours.	25	6
